,School,Students,District
584,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bassick High School
1181 Fairfield Avenue, Bridgeport, CT, 06605  Homes for sale",970.0,Bridgeport School District
585,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Conard High School
2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Connecticut110 Beechwood Road, West Hartford, CT, 06107  Homes for sale",1462.0,West Hartford School District
586,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodstock Elementary School
24 Frog Pond Road, Woodstock, CT, 06281  Homes for sale",446.0,Woodstock School District
587,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Keigwin Middle School
99 Spruce Street, Middletown, CT, 06457  Homes for sale",295.0,Middletown School District
588,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Torringford School
800 Charles Street, Torrington, CT, 06790  Homes for sale",537.0,Torrington School District
589,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Truman School
114 Truman Street, New Haven, CT, 06519  Homes for sale",530.0,New Haven School District
590,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Betsy Ross Arts Magnet School
150 Kimberly Avenue, New Haven, CT, 06519  Homes for sale",444.0,New Haven School District
591,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Monroe Elementary School
375 Monroe Turnpike, Monroe, CT, 06468  Homes for sale",371.0,Monroe School District
592,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Old Greenwich School
825 Sound Beach Avenue, Greenwich, CT, 06870  Homes for sale",469.0,Greenwich School District
593,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Norwich Technical High School
7 Mahan Drive, Norwich, CT, 06360  Homes for sale",665.0,Connecticut Technical High School
594,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Maple Street School
20 Maple Street, Vernon, CT, 06066  Homes for sale",283.0,Vernon School District
595,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Rock Community Magnet School
133 Nash Street, New Haven, CT, 06511  Homes for sale",504.0,New Haven School District
596,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bowers School
141 Princeton Street, Manchester, CT, 06042  Homes for sale",416.0,Manchester School District
597,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Classical Magnet School
85 Woodland Street, Hartford, CT, 06105  Homes for sale",523.0,Hartford School District
598,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Montville High School
800 Old Colchester Road, Montville, CT, 06370  Homes for sale",613.0,Montville School District
599,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Claude Chester School
1 Harry Day Drive, Groton, CT, 06340  Homes for sale",367.0,Groton School District
600,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
West District School
114 West District Road, Farmington, CT, 06085  Homes for sale",292.0,Farmington School District
601,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Washington School
369 Washington Avenue, West Haven, CT, 06516  Homes for sale",444.0,West Haven School District
602,"9/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
E. C. Adams Middle School
233 Church Street, Guilford, CT, 06437  Homes for sale",578.0,Guilford School District
603,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Plantsville School At North Center
70 Church Street, Southington, CT, 06479  Homes for sale",274.0,Southington School District
604,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Mcalister Intermediate School
260 Mountain Road, Suffield, CT, 06078  Homes for sale",439.0,Suffield School District
605,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Tomlinson Middle School
200 Unquowa Road, Fairfield, CT, 06824  Homes for sale",656.0,Fairfield School District
606,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
North Stratfield School
190 Putting Green Road, Fairfield, CT, 06825  Homes for sale",380.0,Fairfield School District
607,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Bugbee School
1943 Asylum Avenue, West Hartford, CT, 06117  Homes for sale",394.0,West Hartford School District
608,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Carmen Arace Intermediate School
390 Park Avenue, Bloomfield, CT, 06002  Homes for sale",244.0,Bloomfield School District
609,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Watertown High School
324 French Street, Watertown, CT, 06795  Homes for sale",836.0,Watertown School District
610,"2/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Stratford Academy - Johnson House
719 Birdseye Street, Stratford, CT, 06615  Homes for sale",380.0,Stratford School District
